Index,Text
1,"See , g. The cardinals from 5 to 199 are indeclinable except for the first (units) numeral in 13 and 14  (3 and 4 respectively). Cardinals 200 and up (and all Ordinal #'s) follow the 1st and 2nd Declension Adjective Tables."
2,"See , D.  for uses of  δύο, δυοῖν (and δυεῖν) with gen and dat plurals"
3,See  D. for irregular uses of Cardinals as (Pro)nouns and as Adjectives
