Index,Text
1,"Adjectives in -dicus, -ficus, and -volus form the Comparative and Superlative as though from forms in -dīcēns, -ficēns, -volēns, which were anciently used as adjectives."
2,"Adjectives in -er form the Superlative by appending -rimus to the Nominative of the Positive. The Comparative is regular."
3,"Five Adjectives in -ilis form the Superlative by adding -limus to the Stem of the Positive deprived of its final vowel. The Comparative is regular. They are facilis, difficilis, similis, dissimilis, humilis."
4,"It appears to contain the old -mo-s (seen in prī-mus, mini-mus, etc.)."
