Lemma,PrincipalParts,Form,Voice,Mood,Tense,Number,Person,Footnote
intersum,interesse_interfui_interfuturus,interesse,passive,infinitive,present,,,
intersum,interesse_interfui_interfuturus,interfutūrus esse,passive,infinitive,future,,,
intersum,interesse_interfui_interfuturus,interfore,passive,infinitive,future,,,
intersum,interesse_interfui_interfuturus,interfuisse,passive,infinitive,perfect,,,
obsum,obesse_obfui_obfuturus,obesse,active,infinitive,present,,,
obsum,obesse_obfui_obfuturus,obfutūrus esse,active,infinitive,future,,,
obsum,obesse_obfui_obfuturus,obfore,active,infinitive,future,,,
obsum,obesse_obfui_obfuturus,obfuisse,active,infinitive,perfect,,,
obsum,obesse_obfui_obfuturus,obesse,passive,infinitive,present,,,
obsum,obesse_obfui_obfuturus,obfutūrus esse,passive,infinitive,future,,,
obsum,obesse_obfui_obfuturus,obfore,passive,infinitive,future,,,
obsum,obesse_obfui_obfuturus,obfuisse,passive,infinitive,perfect,,,
praesum,praeesse_praefui_praefuturus,praeesse,active,infinitive,present,,,
praesum,praeesse_praefui_praefuturus,praefutūrus esse,active,infinitive,future,,,
praesum,praeesse_praefui_praefuturus,praefore,active,infinitive,future,,,
praesum,praeesse_praefui_praefuturus,praefuisse,active,infinitive,perfect,,,
praesum,praeesse_praefui_praefuturus,praeesse,passive,infinitive,present,,,
praesum,praeesse_praefui_praefuturus,praefutūrus esse,passive,infinitive,future,,,
praesum,praeesse_praefui_praefuturus,praefore,passive,infinitive,future,,,
praesum,praeesse_praefui_praefuturus,praefuisse,passive,infinitive,perfect,,,
nolo,nolle_nolui_-,nolle,active,infinitive,present,,,
nolo,nolle_nolui_-,noluisse,active,infinitive,perfect,,,
nolo,nolle_nolui_-,nolle,passive,infinitive,present,,,
nolo,nolle_nolui_-,noluisse,passive,infinitive,perfect,,,
malo,malle_malui_-,malle,active,infinitive,present,,,
malo,malle_malui_-,maluisse,active,infinitive,perfect,,,
malo,malle_malui_-,malle,passive,infinitive,present,,,
malo,malle_malui_-,maluisse,passive,infinitive,perfect,,,
queo,quire_quivi(ii)_quitus,quīre,active,infinitive,present,,,
queo,quire_quivi(ii)_quitus,quīrī,passive,infinitive,present,,,
queo,quire_quivi(ii)_quitus,quitūrus esse,active,infinitive,future,,,
queo,quire_quivi(ii)_quitus,quīsse,active,infinitive,perfect,,,
queo,quire_quivi(ii)_quitus,quitum esse,passive,infinitive,perfect,,,
nequeo,nequire_nequivi(ii)_nequitus,nequīre,active,infinitive,present,,,
nequeo,nequire_nequivi(ii)_nequitus,nequitūrus esse,active,infinitive,future,,,
nequeo,nequire_nequivi(ii)_nequitus,nequīvisse,active,infinitive,perfect,,,
nequeo,nequire_nequivi(ii)_nequitus,nequīsse,active,infinitive,perfect,,,
adeo,adire_adivi(ii)_aditus,adīre,active,infinitive,present,,,
adeo,adire_adivi(ii)_aditus,adīrī,passive,infinitive,present,,,
adeo,adire_adivi(ii)_aditus,adīrier,passive,infinitive,present,,,
adeo,adire_adivi(ii)_aditus,aditūrus esse,active,infinitive,future,,,
adeo,adire_adivi(ii)_aditus,aditum īrī,passive,infinitive,future,,,
adeo,adire_adivi(ii)_aditus,adīsse,active,infinitive,perfect,,,
adeo,adire_adivi(ii)_aditus,aditus esse,passive,infinitive,perfect,,,
ineo,inire_inivi(ii)_initus,inīre,active,infinitive,present,,,
ineo,inire_inivi(ii)_initus,inīrī,passive,infinitive,present,,,
ineo,inire_inivi(ii)_initus,initūrus esse,active,infinitive,future,,,
ineo,inire_inivi(ii)_initus,initum īrī,passive,infinitive,future,,,
ineo,inire_inivi(ii)_initus,inīsse,active,infinitive,perfect,,,
ineo,inire_inivi(ii)_initus,initus esse,passive,infinitive,perfect,,,
veneo,venire_venivi(ii)_venitus,vēnīre,active,infinitive,present,,,
veneo,venire_venivi(ii)_venitus,vēnitūrus esse,active,infinitive,future,,,
veneo,venire_venivi(ii)_venitus,vēnīsse,active,infinitive,perfect,,,
odeo,odire_odivi(ii)_-,odīre,active,infinitive,present,,,
odeo,odire_odivi(ii)_-,odīrī,passive,infinitive,present,,,
odeo,odire_odivi(ii)_-,odīrier,passive,infinitive,present,,,
odeo,odire_odivi(ii)_-,oditūrus esse,active,infinitive,future,,,
odeo,odire_odivi(ii)_-,oditum īrī,passive,infinitive,future,,,
odeo,odire_odivi(ii)_-,odīsse,active,infinitive,perfect,,,
odeo,odire_odivi(ii)_-,oditus esse,passive,infinitive,perfect,,,


