Lemma,PrincipalParts,Form,Voice,Mood,Tense,Number,Person,Footnote
praesum,praeesse_praefui_praefuturus,praees,,imperative,present,singular,2nd,
praesum,praeesse_praefui_praefuturus,praeeste,,imperative,present,plural,2nd,
praesum,praeesse_praefui_praefuturus,praeestō,,imperative,future,singular,2nd,
praesum,praeesse_praefui_praefuturus,praeestō,,imperative,future,singular,3rd,
praesum,praeesse_praefui_praefuturus,praeestōte,,imperative,future,plural,2nd,
praesum,praeesse_praefui_praefuturus,praesuntō,,imperative,future,plural,3rd,
queo,quire_quivi(ii)_quitus,quī,active,imperative,present,singular,2nd,
queo,quire_quivi(ii)_quitus,quīte,active,imperative,present,plural,2nd,
queo,quire_quivi(ii)_quitus,quītō,active,imperative,future,singular,2nd,
queo,quire_quivi(ii)_quitus,quītō,active,imperative,future,singular,3rd,
queo,quire_quivi(ii)_quitus,quītōte,active,imperative,future,plural,2nd,
queo,quire_quivi(ii)_quitus,queuntō,active,imperative,future,plural,3rd,
nequeo,nequire_nequivi(ii)_nequitus,nequī,active,imperative,present,singular,2nd,
nequeo,nequire_nequivi(ii)_nequitus,nequīte,active,imperative,present,plural,2nd,
nequeo,nequire_nequivi(ii)_nequitus,nequītō,active,imperative,future,singular,2nd,
nequeo,nequire_nequivi(ii)_nequitus,nequītō,active,imperative,future,singular,3rd,
nequeo,nequire_nequivi(ii)_nequitus,nequītōte,active,imperative,future,plural,2nd,
nequeo,nequire_nequivi(ii)_nequitus,nequeuntō,active,imperative,future,plural,3rd,
adeo,adire_adivi(ii)_aditus,adī,active,imperative,present,singular,2nd,
adeo,adire_adivi(ii)_aditus,adīte,active,imperative,present,plural,2nd,
adeo,adire_adivi(ii)_aditus,adītō,active,imperative,future,singular,2nd,
adeo,adire_adivi(ii)_aditus,adītō,active,imperative,future,singular,3rd,
adeo,adire_adivi(ii)_aditus,adītōte,active,imperative,future,plural,2nd,
adeo,adire_adivi(ii)_aditus,adeuntō,active,imperative,future,plural,3rd,
ineo,inire_inivi(ii)_initus,inī,active,imperative,present,singular,2nd,
ineo,inire_inivi(ii)_initus,inīte,active,imperative,present,plural,2nd,
ineo,inire_inivi(ii)_initus,inītō,active,imperative,future,singular,2nd,
ineo,inire_inivi(ii)_initus,inītō,active,imperative,future,singular,3rd,
ineo,inire_inivi(ii)_initus,inītōte,active,imperative,future,plural,2nd,
ineo,inire_inivi(ii)_initus,ineuntō,active,imperative,future,plural,3rd,
veneo,venire_venivi(ii)_venitus,vēnī,active,imperative,present,singular,2nd,
veneo,venire_venivi(ii)_venitus,vēnīte,active,imperative,present,plural,2nd,
veneo,venire_venivi(ii)_venitus,vēnītō,active,imperative,future,singular,2nd,
veneo,venire_venivi(ii)_venitus,vēnītō,active,imperative,future,singular,3rd,
veneo,venire_venivi(ii)_venitus,vēnītōte,active,imperative,future,plural,2nd,
veneo,venire_venivi(ii)_venitus,vēneuntō,active,imperative,future,plural,3rd,
inquam,-_-_-,inque,,imperative,present,singular,2nd,16
inquam,-_-_-,inquitō,,imperative,present,plural,2nd,16


