Lemma,PrincipalParts,Form,Voice,Mood,Tense,Number,Person,Footnote
sum,esse_fui_futurus,fuissēmus,,subjunctive,pluperfect,plural,1st,
sum,esse_fui_futurus,fuissētis,,subjunctive,pluperfect,plural,2nd,
sum,esse_fui_futurus,fuissent,,subjunctive,pluperfect,plural,3rd,
sum,esse_fui_futurus,fuerō,,indicative,future_perfect,singular,1st,
sum,esse_fui_futurus,fueris,,indicative,future_perfect,singular,2nd,
sum,esse_fui_futurus,fuerit,,indicative,future_perfect,singular,3rd,
sum,esse_fui_futurus,fuerimus,,indicative,future_perfect,plural,1st,
sum,esse_fui_futurus,fueritis,,indicative,future_perfect,plural,2nd,
sum,esse_fui_futurus,fuerint,,indicative,future_perfect,plural,3rd,
fero,ferre_tuli_latus,ferō,active,indicative,present,singular,1st,
fero,ferre_tuli_latus,fers,active,indicative,present,singular,2nd,
fero,ferre_tuli_latus,fert,active,indicative,present,singular,3rd,
fero,ferre_tuli_latus,ferimus,active,indicative,present,plural,1st,
fero,ferre_tuli_latus,fertis,active,indicative,present,plural,2nd,
fero,ferre_tuli_latus,ferunt,active,indicative,present,plural,3rd,
fero,ferre_tuli_latus,feram,active,subjunctive,present,singular,1st,
fero,ferre_tuli_latus,ferās,active,subjunctive,present,singular,2nd,
fero,ferre_tuli_latus,ferat,active,subjunctive,present,singular,3rd,
fero,ferre_tuli_latus,ferāmus,active,subjunctive,present,plural,1st,
fero,ferre_tuli_latus,ferātis,active,subjunctive,present,plural,2nd,
fero,ferre_tuli_latus,ferant,active,subjunctive,present,plural,3rd,
fero,ferre_tuli_latus,fer,active,imperative,present,singular,2nd,
fero,ferre_tuli_latus,ferte,active,imperative,present,plural,2nd,
fero,ferre_tuli_latus,ferre,active,infinitive,present,,,3
fero,ferre_tuli_latus,feror,passive,indicative,present,singular,1st,
fero,ferre_tuli_latus,ferris,passive,indicative,present,singular,2nd,
fero,ferre_tuli_latus,ferre,passive,indicative,present,singular,2nd,
fero,ferre_tuli_latus,fertur,passive,indicative,present,singular,3rd,
fero,ferre_tuli_latus,ferimur,passive,indicative,present,plural,1st,
fero,ferre_tuli_latus,feriminī,passive,indicative,present,plural,2nd,
fero,ferre_tuli_latus,feruntur,passive,indicative,present,plural,3rd,
fero,ferre_tuli_latus,ferar,passive,subjunctive,present,singular,1st,
fero,ferre_tuli_latus,ferāris,passive,subjunctive,present,singular,2nd,
fero,ferre_tuli_latus,ferāre,passive,subjunctive,present,singular,2nd,
fero,ferre_tuli_latus,ferātur,passive,subjunctive,present,singular,3rd,
fero,ferre_tuli_latus,ferāmur,passive,subjunctive,present,plural,1st,
fero,ferre_tuli_latus,ferāminī,passive,subjunctive,present,plural,2nd,
fero,ferre_tuli_latus,ferantur,passive,subjunctive,present,plural,3rd,
fero,ferre_tuli_latus,ferre,passive,imperative,present,singular,2nd,
fero,ferre_tuli_latus,feriminī,passive,imperative,present,plural,2nd,
fero,ferre_tuli_latus,ferrī,passive,infinitive,present,,,
fero,ferre_tuli_latus,ferēbam,active,indicative,imperfect,singular,1st,
fero,ferre_tuli_latus,ferēbās,active,indicative,imperfect,singular,2nd,
fero,ferre_tuli_latus,ferēbat,active,indicative,imperfect,singular,3rd,
fero,ferre_tuli_latus,ferēbāmus,active,indicative,imperfect,plural,1st,
fero,ferre_tuli_latus,ferēbātis,active,indicative,imperfect,plural,2nd,
fero,ferre_tuli_latus,ferēbant,active,indicative,imperfect,plural,3rd,
fero,ferre_tuli_latus,ferrem,active,subjunctive,imperfect,singular,1st,3
fero,ferre_tuli_latus,ferrēs,active,subjunctive,imperfect,singular,2nd,
fero,ferre_tuli_latus,ferret,active,subjunctive,imperfect,singular,3rd,
fero,ferre_tuli_latus,ferrēmus,active,subjunctive,imperfect,plural,1st,
fero,ferre_tuli_latus,ferrētis,active,subjunctive,imperfect,plural,2nd,
fero,ferre_tuli_latus,ferrent,active,subjunctive,imperfect,plural,3rd,
fero,ferre_tuli_latus,ferēbar,passive,indicative,imperfect,singular,1st,
fero,ferre_tuli_latus,ferēbāris,passive,indicative,imperfect,singular,2nd,
fero,ferre_tuli_latus,ferēbāre,passive,indicative,imperfect,singular,2nd,
fero,ferre_tuli_latus,ferēbātur,passive,indicative,imperfect,singular,3rd,
fero,ferre_tuli_latus,ferēbāmur,passive,indicative,imperfect,plural,1st,
fero,ferre_tuli_latus,ferēbāminī,passive,indicative,imperfect,plural,2nd,
fero,ferre_tuli_latus,ferēbantur,passive,indicative,imperfect,plural,3rd,
fero,ferre_tuli_latus,ferrer,passive,subjunctive,imperfect,singular,1st,
