Index,Text
1,"With neuter plural subject, periphrastic forms are sometimes found in the indicative, but more commonly the 3rd singular form is used instead."
2,"thus is late Greek with a neuter plural subject, but in classical Attic the 3rd singular form is used with neuter plural subject."
