Index,Text
1,enclitic
2,not enclitic
3,enclitic
4,The reflexive pronouns are formed by compounding the stems of the personal pronouns with the oblique cases of αὐτός
5,"The possessive pronouns, formed from the stems of the personal pronouns, are declined like ἀγαθός, ἄξιος (see Smyth 287)"
